threshold_pct,timeframe_days,total_cases,positive_cases,negative_cases,positive_rate,avg_drawdown,trend_break_rate,negative_momentum_rate,rsi_below_50_rate,macd_bearish_rate,label_col,score,pos_rate_score,confirmation_score,timeframe_score,threshold_score,total_score
-5.0,10,3264,321,2943,9.834558823529411,-0.0218530180330027,54.20560747663551,53.271028037383175,58.56697819314641,57.3208722741433,will_have_drawdown_5.0pct_10d,0,89.33823529411765,55.42056074766355,100.0,100.0,81.73175508521166
-3.0,7,3264,489,2775,14.981617647058822,-0.016571491784713694,50.10224948875256,51.738241308793455,53.78323108384458,56.44171779141104,will_have_drawdown_3.0pct_7d,0,90.07352941176471,52.597137014314924,100.0,100.0,80.9273803079514
-5.0,7,3264,199,3065,6.096813725490196,-0.016571491784713694,57.286432160804026,55.778894472361806,63.81909547738693,60.30150753768844,will_have_drawdown_5.0pct_7d,0,74.38725490196079,58.743718592964825,100.0,100.0,79.15711523302788
-3.0,10,3264,726,2538,22.24264705882353,-0.0218530180330027,47.79614325068871,49.862258953168045,51.10192837465565,53.58126721763086,will_have_drawdown_3.0pct_10d,0,80.51470588235294,50.23415977961432,100.0,100.0,77.71063239345325
-5.0,5,3264,120,3144,3.6764705882352944,-0.012594051600515093,57.49999999999999,59.166666666666664,66.66666666666666,65.0,will_have_drawdown_5.0pct_5d,0,82.35294117647058,61.33333333333333,65.0,100.0,75.0549019607843
-3.0,5,3264,339,2925,10.386029411764707,-0.012594051600515093,51.62241887905604,53.687315634218294,56.63716814159292,57.52212389380531,will_have_drawdown_3.0pct_5d,0,91.54411764705883,54.424778761061944,65.0,100.0,74.93470197813639
-7.000000000000001,7,3264,97,3167,2.971813725490196,-0.016571491784713694,59.79381443298969,61.855670103092784,64.94845360824742,62.88659793814433,will_have_drawdown_7.000000000000001pct_7d,0,80.94362745098039,62.061855670103085,100.0,39.999999999999986,69.95755634728117
-5.0,15,3264,498,2766,15.257352941176471,-0.029651675680196173,49.79919678714859,49.19678714859438,51.80722891566265,50.20080321285141,will_have_drawdown_5.0pct_15d,0,88.97058823529412,50.100401606425706,35.0,100.0,66.77778762107252
-7.000000000000001,10,3264,164,3100,5.0245098039215685,-0.0218530180330027,54.87804878048781,57.3170731707317,58.536585365853654,59.756097560975604,will_have_drawdown_7.000000000000001pct_10d,0,70.09803921568627,57.3170731707317,100.0,39.999999999999986,65.58548541367766
-7.000000000000001,5,3264,59,3205,1.8075980392156865,-0.012594051600515093,66.10169491525424,69.49152542372882,69.49152542372882,67.79661016949152,will_have_drawdown_7.000000000000001pct_5d,0,78.61519607843138,68.13559322033899,65.0,39.999999999999986,64.50125664672649
-3.0,15,3264,1074,2190,32.904411764705884,-0.029651675680196173,47.67225325884544,49.44134078212291,49.25512104283054,50.74487895716946,will_have_drawdown_3.0pct_15d,0,59.19117647058823,49.134078212290504,35.0,100.0,58.99472149194874
-7.000000000000001,15,3264,294,2970,9.007352941176471,-0.029651675680196173,55.10204081632652,56.12244897959183,58.843537414965986,54.421768707483,will_have_drawdown_7.000000000000001pct_15d,0,86.02941176470588,56.0204081632653,35.0,39.999999999999986,56.114495798319325
